S.no,Name,Gender,MBA_percentage,Highschool_percentage,Status,Salary
1,Rick Hansen,M,91,58.8,Placed,270000
2,Justin Ritter,M,78.33,66.28,Placed,200000
3,Craig Reiter,M,68,57.8,Placed,250000
4,Katherine Murray,M,52,59.43,Not Placed,0
5,Rick Hansen,M,73.6,55.5,Placed,425000
6,Jim Mitchum,M,49.8,51.58,Not Placed,0
7,Toby Swindell,F,49.2,53.29,Not Placed,0
8,Mick Brown,M,64,62.14,Placed,252000
9,Jane Waco,M,79,61.29,Placed,231000
10,Joseph Holt,M,70,52.21,Not Placed,0
11,Greg Maxwell,M,61,60.85,Placed,260000
12,Anthony Jacobs,M,68.4,63.7,Placed,250000
13,Magdelene Morse,F,55,65.04,Not Placed,0
14,Vicky Freymann,F,87,68.63,Placed,218000
15,Peter Fuller,M,47,54.96,Not Placed,0
16,Ben Peterman,F,75,64.66,Placed,200000
17,Thomas Boland,M,66.2,62.54,Placed,300000
18,Patrick Jones,F,67,67.28,Not Placed,0
19,Jim Sink,F,66,64.08,Not Placed,0
20,Ritsa Hightower,M,67,77.89,Placed,236000
21,Ann Blume,M,65,56.7,Placed,265000
22,Sue Ann Reed,F,76,69.06,Placed,393000
23,Jason Klamczynski,F,60.8,68.81,Placed,360000
24,Laurel Beltran,F,60,63.62,Placed,300000
25,Naresj Patel,M,97.7,74.01,Placed,360000
26,Valerie Dominguez,F,54.6,65.33,Not Placed,0
27,Phillip Breyer,M,79,57.55,Placed,240000
28,Eugene Barchas,M,67,57.69,Placed,265000
29,Karen Ferguson,M,76.5,64.15,Placed,350000
30,Benjamin Patterson,M,67,51.29,Not Placed,0
31,Rick Reed,F,73.5,56.7,Placed,250000
32,Bill Shonely,F,53,58.32,Not Placed,0
33,Joel Eaton,F,81,62.21,Placed,278000
34,Dave Poirier,F,65,72.78,Placed,260000
35,Nora Preis,M,51,62.77,Not Placed,0
36,Aaron Hawkins,F,78,62.74,Placed,300000
37,Darrin Martin,M,44,51.45,Not Placed,0
38,Grant Thornton,F,76,55.47,Placed,320000
39,Patrick O'Donnell,F,58,56.86,Placed,240000
40,Dan Lawera,M,68,62.56,Placed,411000
41,Joy Bell-,F,77,66.72,Placed,287000
42,Barry Franz,F,63.16,69.76,Not Placed,0
43,Vivek Grady,M,39,51.21,Not Placed,0
44,Greg Tran,M,87,62.9,Placed,300000
45,Zuschuss Carroll,F,73,69.7,Placed,200000
46,Sanjit Chand,F,64,66.53,Not Placed,0
47,Ellis Ballard,F,71.98,71.63,Not Placed,0
48,Arthur Prichep,M,60,54.55,Placed,204000
49,Scott Williamson,M,62,62.46,Placed,250000
50,John Huston,F,37,56.11,Not Placed,0
51,Lena Creighton,F,73.2,62.98,Placed,200000
52,Trudy Glocke,M,61.12,62.65,Not Placed,0
53,Harold Ryan,F,45.83,65.49,Not Placed,0
54,Phillip Breyer,M,70,71.04,Placed,450000
55,Deirdre Greer,F,60,65.56,Placed,216000
56,Sheri Gordon,M,66.6,52.71,Placed,220000
57,Fred Hopkins,M,71.4,66.88,Placed,240000
58,Guy Phonely,M,76,63.59,Placed,360000
59,Mitch Webber,M,62,57.99,Placed,268000
60,Patrick O'Brill,M,65.58,56.66,Placed,265000
